IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Product Code,Usage Type,[lineItem/Operation],lineItem/LineItemDescription
Database,Analytics,Amazon Redshift,Compute Node (RA family),%Node:ra%,AmazonRedshift,%Node:ra%,,
Database,Analytics,Amazon Redshift,Redshift Managed Storage,%RMS%,AmazonRedshift,%RMS%,,
Database,Analytics,Amazon Redshift,Data Scanned,%DataScanned%,AmazonRedshift,%DataScanned%,,
Database,Analytics,Amazon Redshift,Compute Node (DC family),%Node:dc%,AmazonRedshift,%Node:dc%,,
Database,Analytics,Amazon Redshift,Compute Node (DS family),%Node:ds%,AmazonRedshift,%Node:ds%,,
Security,Security and Identity,AWS Directory Service,Tax Allocation,,AWSDirectoryService,,,Tax%
Security,Security and Identity,AWS Directory Service,Microsoft AD Domain Controller,%MicrosoftAD-DC-Usage%,AWSDirectoryService,%MicrosoftAD-DC-Usage,,
Security,Security and Identity,AWS Directory Service,Simple AD,%SimpleAD-Usage%,AWSDirectoryService,%SimpleAD-Usage,,
Security,Security and Identity,AWS Directory Service,Small Directory,%Small-Directory-Usage%,AWSDirectoryService,%Small-Directory-Usage,,
Security,Security and Identity,AWS Directory Service,AD Connector (Large),%Large-ADConnector-Usage%,AWSDirectoryService,%Large-ADConnector-Usage,,
Storage,Storage&Content Delivery,Amazon Glacier,Provisioned Capacity Unit,%ProvisionedCapacityUnit%,AmazonGlacier,%ProvisionedCapacityUnit%,,
Storage,Storage&Content Delivery,Amazon Glacier,Timed Storage,%TimedStorage-ByteHrs%,AmazonGlacier,%TimedStorage-ByteHrs%,,
Storage,Storage&Content Delivery,Amazon Glacier,Requests (Tier 3),%Requests-Tier3%,AmazonGlacier,%Requests-Tier3%,,
Storage,Storage&Content Delivery,Amazon Glacier,Requests (Tier 1),%Requests-Tier1%,AmazonGlacier,%Requests-Tier1%,,
Storage,Storage&Content Delivery,Amazon Glacier,Early Delete,%EarlyDelete%,AmazonGlacier,%EarlyDelete%,,
Storage,Storage&Content Delivery,Amazon S3,Early Delete (Glacier Deep Archive),%EarlyDelete-GDA%,AmazonS3,%EarlyDelete-GDA%,,
Storage,Storage&Content Delivery,Amazon S3,Early Delete (Infrequent Access - INT),%EarlyDelete-INT%,AmazonS3,%EarlyDelete-INT%,,
Storage,Storage&Content Delivery,Amazon S3,Early Delete (Zone-IA),%EarlyDelete-ZIA%,AmazonS3,%EarlyDelete-ZIA%,,
Storage,Storage&Content Delivery,Amazon S3,Early Delete (Standard-IA),%EarlyDelete-SIA%,AmazonS3,%EarlyDelete-SIA%,,
Storage,Storage&Content Delivery,Amazon S3,Requests (Tier 1),%Requests%Tier1%,AmazonS3,%Requests%Tier1%,,
Storage,Storage&Content Delivery,Amazon S3,Requests (Tier 2),%Requests%Tier2%,AmazonS3,%Requests%Tier2%,,
Storage,Storage&Content Delivery,Amazon S3,Requests (Tier 3),%Requests%Tier3%,AmazonS3,%Requests%Tier3%,,
Storage,Storage&Content Delivery,Amazon S3,Requests (Tier 4),%Requests%Tier4%,AmazonS3,%Requests%Tier4%,,
Storage,Storage&Content Delivery,Amazon S3,Requests (Tier 5),%Requests%Tier5%,AmazonS3,%Requests%Tier5%,,
Storage,Storage&Content Delivery,Amazon S3,Requests (Tier 6),%Requests%Tier6%,AmazonS3,%Requests%Tier6%,,
Storage,Storage&Content Delivery,Amazon S3,Tag Storage,%TagStorage-TagHrs%,AmazonS3,%TagStorage-TagHrs%,,
Application,Application Services,Amazon SNS,HTTP Delivery,%DeliveryAttempts-HTTP%,AmazonSNS,%DeliveryAttempts-HTTP%,,
Application,Application Services,Amazon SNS,SQS Delivery,%DeliveryAttempts-SQS%,AmazonSNS,%DeliveryAttempts-SQS%,,
Application,Application Services,Amazon SNS,SMS Pricing,%SMS-Price%,AmazonSNS,%SMS-Price%,,
Application,Application Services,Amazon SNS,SMS Sent,%SMS-Sent%,AmazonSNS,%SMS-Sent%,,
Application,Application Services,Amazon SNS,APNS Delivery,%DeliveryAttempts-APNS%,AmazonSNS,%DeliveryAttempts-APNS%,,
Application,Artificial Intelligence,Amazon Translate,Text Translation,%TranslateText%,translate,%TranslateText%,,
Application,Artificial Intelligence,Amazon Transcribe,Streaming Audio,%StreamingAudio%,transcribe,%StreamingAudio%,%StreamingAudio,
Application,Artificial Intelligence,Amazon Transcribe,Transcribe Audio,%TranscribeAudio%,transcribe,%TranscribeAudio%,TranscribeAudio,
Platform,Developer Tools,AWS CodePipeline,Tax Allocation,,AWSCodePipeline,,,Tax%
Platform,Developer Tools,AWS CodePipeline,Trial Pipeline,%trialPipeline%,AWSCodePipeline,%trialPipeline%,,
Platform,Developer Tools,AWS CodeBuild,Build Service,,,CodeBuild,,
Platform,Artificial Intelligence,Amazon ML,Train Model,%AMLBoxUsage%,AmazonML,%AMLBoxUsage%,TrainModel,
Platform,Artificial Intelligence,Amazon ML,Evaluate Model,%AMLBoxUsage%,AmazonML,%AMLBoxUsage%,EvaluateModel,
Platform,Artificial Intelligence,Amazon Polly,Text-to-Speech,,,AmazonPolly,,
